gene	disease
SEPTIN12	Spermatogenic failure 10
SEPTIN9	Amyotrophy, hereditary neuralgic;Acute megakaryoblastic leukemia
SERAC1	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome
SERPINA1	PI Q0(NEWPORT);PI NULL(HONG KONG 1);PI NULL(NEWPORT);PI NULL(DEVON);PI S(IIYAMA);PI Q0(BELLINGHAM);PI NULL(LUDWIGSHAFEN);PI M(MINERAL SPRINGS);PI Q0(HONG KONG 1);PI Q0(DEVON);PI Q0(LUDWIGSHAFEN);PI NULL(BELLINGHAM);Alpha-1-antitrypsin deficiency;Hemorrhagic disease due to alpha-1-antitrypsin Pittsburgh mutation;PI Q0(GRANITE FALLS)
SERPINA3	ANTICHYMOTRYPSIN BOCHUM 1
SERPINA6	Corticosteroid-binding globulin deficiency
SERPINA7	Thyroxine-binding globulin, Chicago;Thyroxine-binding globulin deficiency, partial;Thyroxine-binding globulin, variant P;Thyroxine-binding globulin, slow
SERPINB6	Deafness, autosomal recessive 91;Nonsyndromic hearing loss and deafness
SERPINB7	Palmoplantar keratoderma, nagashima type
SERPINB8	Peeling skin syndrome 5
SERPINC1	Antithrombin deficiency;Reduced antithrombin III activity
SERPIND1	Heparin cofactor II deficiency
SERPINE1	Plasminogen activator inhibitor type 1 deficiency;Transcription level of plasminogen activator inhibitor 1
SERPINF1	Osteogenesis imperfecta, type VI
SERPINF2	Anti-plasmin deficiency, congenital
SERPING1	Hereditary C1 esterase inhibitor deficiency - dysfunctional factor;Angioedema;Complement component 4, partial deficiency of, due to dysfunctional c1 inhibitor;Hereditary angioedema type 1
SERPINH1	Osteogenesis imperfecta type 10
SERPINI1	Encephalopathy, familial, with neuroserpin inclusion bodies
SET	MENTAL RETARDATION, AUTOSOMAL DOMINANT 58;Inborn genetic diseases
SETBP1	Hydronephrosis;Abnormality of the nail;Schinzel-Giedion syndrome;Atrial septal defect;Chronic myelogenous leukemia;Cerebral atrophy;Midface retrusion;Teratoma;Hypospadias, penile;Large fontanelles;Inborn genetic diseases;Mental retardation, autosomal dominant 29
SETD1A	Schizophrenia;Inborn genetic diseases
SETD2	Ventriculomegaly;Genetic syndrome with a Dandy-Walker malformation as major feature;Inborn genetic diseases;Luscan-lumish syndrome
SETD5	Mental retardation, autosomal dominant 23;Inborn genetic diseases
SETX	Spinocerebellar ataxia autosomal recessive 1;Amyotrophic lateral sclerosis type 4;Inborn genetic diseases
SEZ6	Childhood-Onset Schizophrenia
SF3B1	Hepatocellular carcinoma;Transitional cell carcinoma of the bladder;Myelodysplastic syndrome;Renal cell carcinoma, papillary, 1;Acute myeloid leukemia;Chronic lymphocytic leukemia;Neoplasm of the breast;Malignant melanoma of skin;Adenoid cystic carcinoma;Myelodysplastic syndrome progressed to acute myeloid leukemia
SF3B4	Midface retrusion;Stenosis of the external auditory canal;Micrognathia;Malar flattening;Inborn genetic diseases;Nager syndrome
SFRP4	Pyle metaphyseal dysplasia
SFTPA2	Idiopathic fibrosing alveolitis, chronic form
SFTPB	Surfactant metabolism dysfunction, pulmonary, 1
SFTPC	Skeletal myopathy;Respiratory distress;Restrictive ventilatory defect;Interstitial pulmonary abnormality;Respiratory insufficiency due to muscle weakness;Proximal muscle weakness;Generalized hypotonia;Muscular Diseases;Neonatal respiratory distress;Surfactant metabolism dysfunction, pulmonary, 2;Proximal muscle weakness in upper limbs;Infantile axial hypotonia;Neonatal hypotonia;Congenital peripheral neuropathy;Inborn genetic diseases;Pulmonary alveolar proteinosis
SFXN4	Combined oxidative phosphorylation deficiency 18
SGCA	Limb-girdle muscular dystrophy, type 2D
SGCB	Limb-girdle muscular dystrophy, type 2E
SGCD	Dilated cardiomyopathy 1L;Limb-girdle muscular dystrophy;Limb-girdle muscular dystrophy, type 2F
SGCE	Myoclonic dystonia
SGCG	Severe autosomal recessive muscular dystrophy of childhood - North African type
SGO1	Chronic atrial and intestinal dysrhythmia
SGO2	Perrault syndrome;Premature ovarian failure
SGPL1	Nephrotic syndrome type 14
SGSH	Sanfilippo syndrome;Mucopolysaccharidosis, MPS-III-A
SH2B3	Essential thrombocythemia;Familial erythrocytosis, 1;Myelofibrosis
SH2D1A	Schizophrenia;Autistic disorder of childhood onset;Inborn genetic diseases;X-Linked Lymphoproliferative Syndrome;Lymphoproliferative syndrome 1, X-linked
SH3BP2	Fibrous dysplasia of jaw
SH3PXD2B	Borrone Di Rocco Crovato syndrome;Frank Ter Haar syndrome
SH3TC2	Charcot-Marie-Tooth disease, type 4C;Charcot-Marie-Tooth disease type 4
SHANK2	Autism 17;Autism spectrum disorder;Inborn genetic diseases
SHANK3	22q13.3 deletion syndrome;Psychosis;Intellectual disability;Moderate global developmental delay;Inborn genetic diseases;Mutism;Schizophrenia 15;History of neurodevelopmental disorder
SHH	Autistic disorder of childhood onset;Holoprosencephaly 3;Single median maxillary incisor
SHOX	Langer mesomelic dysplasia syndrome;Leri Weill dyschondrosteosis;Schizophrenia;Short stature, idiopathic, X-linked;Autistic disorder of childhood onset
SHROOM4	Stocco dos Santos syndrome
SI	Sucrase-isomaltase deficiency;Inborn genetic diseases
SIAE	Autoimmune disease 6
SIGMAR1	Amyotrophic lateral sclerosis 16, juvenile;Distal spinal muscular atrophy, autosomal recessive 2
SIK1	Epileptic encephalopathy, early infantile, 30
SIK1B	Rolandic epilepsy
SIK3	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, KRAKOW TYPE
SIL1	Marinesco-Sjögren syndrome
SIN3A	Witteveen-kolk syndrome;Inborn genetic diseases
SIPA1L3	Cataract 45
SIX1	Melnick-Fraser syndrome;Branchiootic syndrome 3;Deafness, autosomal dominant 23
SIX3	SCHIZENCEPHALY;Holoprosencephaly 2
SIX5	Branchiootorenal syndrome 2
SIX6	Cataract, microphthalmia and nystagmus
SKI	Inborn genetic diseases;Disproportionate tall stature;Shprintzen-Goldberg syndrome
SKIV2L	Trichohepatoenteric syndrome 2
SLC10A2	Bile acid malabsorption, primary
SLC10A7	SHORT STATURE, AMELOGENESIS IMPERFECTA, AND SKELETAL DYSPLASIA WITH SCOLIOSIS
SLC11A1	Buruli ulcer, susceptibility to
SLC11A2	Hypochromic microcytic anemia with iron overload
SLC12A1	Bartter syndrome, type 1, antenatal;Nephrolithiasis;Nephrocalcinosis
SLC12A2	Infant onset multiple organ failure
SLC12A3	Familial hypokalemia-hypomagnesemia
SLC12A5	Early infantile epileptic encephalopathy 34;Epilepsy, idiopathic generalized, susceptibility to, 14
SLC12A6	Hypertelorism;Agenesis of corpus callosum;Low-set ears;Clinodactyly of the 5th finger;Andermann syndrome;Abnormal facial shape
SLC13A3	LEUKOENCEPHALOPATHY, ACUTE REVERSIBLE, WITH INCREASED URINARY ALPHA-KETOGLUTARATE
SLC13A5	Global developmental delay;Chronic kidney disease;Epileptic encephalopathy, early infantile, 25;Seizures
SLC14A1	Jk-null variant, finnish type
SLC16A1	Exercise-induced hyperinsulinemic hypoglycemia;Monocarboxylate transporter 1 deficiency, autosomal recessive;Erythrocyte lactate transporter defect;Monocarboxylate transporter 1 deficiency, autosomal dominant
SLC16A12	Cataract, juvenile, with microcornea and glucosuria
SLC16A2	Schizophrenia;Allan-Herndon-Dudley syndrome;Autistic disorder of childhood onset;Decreased activity of the pyruvate dehydrogenase complex;Intellectual disability;Spastic paraplegia;Inborn genetic diseases
SLC17A3	Uric acid concentration, serum, quantitative trait locus 4
SLC17A5	Salla disease;Sialic acid storage disease, severe infantile type
SLC17A9	Porokeratosis 8, disseminated superficial actinic type
SLC18A2	PARKINSONISM-DYSTONIA, INFANTILE, 2;Abnormality of brain morphology;Inborn genetic diseases
SLC18A3	Myasthenic syndrome, congenital, 21, presynaptic
SLC19A2	Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness
SLC19A3	Biotin-thiamine-responsive basal ganglia disease
SLC1A1	Cerebral visual impairment and intellectual disability;Schizophrenia 18;Dicarboxylic aminoaciduria
SLC1A2	Epileptic encephalopathy, early infantile, 41
SLC1A3	Episodic ataxia, type 6
SLC1A4	Spastic tetraplegia, thin corpus callosum, and progressive microcephaly
SLC20A2	Idiopathic basal ganglia calcification 1;Inborn genetic diseases
SLC22A12	Familial renal hypouricemia
SLC22A18	Rhabdomyosarcoma, somatic;Lung cancer
SLC22A5	Renal carnitine transport defect
SLC24A1	Retinitis pigmentosa;Congenital stationary night blindness, type 1D
SLC24A4	Amelogenesis imperfecta, hypomaturation type IIA5
SLC24A5	Albinism, oculocutaneous, type VI
SLC25A1	MYASTHENIC SYNDROME, CONGENITAL, 23, PRESYNAPTIC;Combined d-2- and l-2-hydroxyglutaric aciduria
SLC25A10	Mitochondrial complex I deficiency
SLC25A11	PARAGANGLIOMAS 6
SLC25A12	Hypomyelination, global cerebral
SLC25A13	Citrin deficiency;Citrullinemia type II;Neonatal intrahepatic cholestasis caused by citrin deficiency
SLC25A15	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
SLC25A16	Cerebral visual impairment and intellectual disability
SLC25A19	Striatal necrosis, bilateral, and progressive polyneuropathy;Amish lethal microcephaly
SLC25A20	Carnitine acylcarnitine translocase deficiency
SLC25A22	Early infantile epileptic encephalopathy;Early myoclonic encephalopathy
SLC25A24	Fontaine progeroid syndrome
SLC25A26	Combined oxidative phosphorylation deficiency 28
SLC25A3	Mitochondrial phosphate carrier deficiency
SLC25A32	Exercise intolerance, riboflavin-responsive
SLC25A38	Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive;SLC25A38-Related Disorders
SLC25A4	Autosomal dominant progressive external ophthalmoplegia with mitochondrial DNA deletions 2;Mitochondrial DNA depletion syndrome 12a (cardiomyopathic type), autosomal dominant;Mitochondrial diseases;Mitochondrial DNA depletion syndrome 12b (cardiomyopathic type), autosomal recessive
SLC25A42	Mitochondrial myopathy;METABOLIC CRISES, RECURRENT, WITH VARIABLE ENCEPHALOMYOPATHIC FEATURES AND NEUROLOGIC REGRESSION;SLC25A42-related mitochondrial encephalomyopathy
SLC25A46	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIB
SLC26A2	Multiple epiphyseal dysplasia 4;Osteochondrodysplasia;de la Chapelle dysplasia;Diastrophic dysplasia;Diastrophic dysplasia, broad bone-platyspondylic variant;Achondrogenesis, type IB;Atelosteogenesis type 2
SLC26A3	Congenital secretory diarrhea, chloride type
SLC26A4	Pendred syndrome;Hearing impairment;Deafness;Wolff-Parkinson-White pattern;Autosomal recessive non-syndromic sensorineural deafness type DFNB;SLC26A4-Related Disorders;Enlarged vestibular aqueduct
SLC26A5	Deafness, autosomal recessive 61
SLC26A8	Spermatogenic failure 3
SLC27A4	Ichthyosis prematurity syndrome;Inborn genetic diseases
SLC29A1	Hemolytic disease of fetus OR newborn due to isoimmunization
SLC29A3	Histiocytosis-lymphadenopathy plus syndrome
SLC2A1	Intellectual disability;Rolandic epilepsy;Dystonia 9;Global developmental delay;Epilepsy, idiopathic generalized, susceptibility to, 12;GLUT1 deficiency syndrome 1, autosomal recessive;Microcephaly;Cerebellar ataxia;Myoclonus;GLUT1 deficiency syndrome 1;History of neurodevelopmental disorder;Glucose transporter type 1 deficiency syndrome;GLUT1 deficiency syndrome 2;Seizures;Stomatin-deficient cryohydrocytosis with neurologic defects;Inborn genetic diseases
SLC2A10	Arterial tortuosity syndrome;Thoracic aortic aneurysm and aortic dissection;Cardiovascular phenotype
SLC2A2	Fanconi-Bickel syndrome;Diabetes mellitus type 2
SLC2A9	Renal hypouricemia 2
SLC30A10	Hypermanganesemia with dystonia 1
SLC30A2	Zinc deficiency, transient neonatal
SLC30A7	Joubert syndrome 1
SLC30A8	DIABETES MELLITUS, TYPE 2, SUSCEPTIBILITY TO
SLC30A9	Birk-Landau-Perez syndrome
SLC33A1	Congenital cataracts, hearing loss, and neurodegeneration;Spastic paraplegia 42, autosomal dominant
SLC34A1	SLC34A1-Related Disorders;Fanconi renotubular syndrome 2;Hypercalcemia, infantile, 2;Nephrolithiasis/osteoporosis, hypophosphatemic, 1;Nephrolithiasis;Nephrocalcinosis
SLC34A2	PULMONARY ALVEOLAR MICROLITHIASIS
SLC34A3	Autosomal recessive hypophosphatemic bone disease
SLC35A1	Congenital disorder of glycosylation type 2F;CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIf, MODIFIER OF
SLC35A2	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm;Schizophrenia;Autistic disorder of childhood onset;Epileptic encephalopathy;Inborn genetic diseases
SLC35A3	Arthrogryposis, mental retardation, and seizures
SLC35C1	Congenital disorder of glycosylation type 2C
SLC35D1	Schneckenbecken dysplasia
SLC36A2	Hyperglycinuria;Iminoglycinuria, digenic
SLC37A4	Glucose-6-phosphate transport defect
SLC38A8	Foveal hypoplasia 2;FOVEAL HYPOPLASIA 2 WITH OPTIC NERVE MISROUTING AND ANTERIOR SEGMENT DYSGENESIS;FOVEAL HYPOPLASIA 2 WITH OPTIC NERVE MISROUTING;Foveal hypoplasia 2 and optic nerve misrouting with or without anterior segment dysgenesis
SLC39A13	Spondylocheirodysplasia, Ehlers-Danlos syndrome-like
SLC39A14	Hypermanganesemia with dystonia 2;Hyperostosis cranialis interna
SLC39A4	Hereditary acrodermatitis enteropathica
SLC39A5	Myopia 24, autosomal dominant
SLC39A8	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIn
SLC3A1	Nephrolithiasis;Nephrocalcinosis;Cystinuria
SLC40A1	Hemochromatosis type 4
SLC44A4	DEAFNESS, AUTOSOMAL DOMINANT 72
SLC45A1	INTELLECTUAL DEVELOPMENTAL DISORDER WITH NEUROPSYCHIATRIC FEATURES
SLC45A2	Nonsyndromic Oculocutaneous Albinism;Oculocutaneous albinism type 4
SLC46A1	Congenital defect of folate absorption
SLC4A1	Pseudohyperkalemia Cardiff;Renal tubular acidosis, distal, with normal red cell morphology;Acanthocytosis due to band 3 ht;Renal tubular acidosis, distal, autosomal dominant;Malaria, cerebral, resistance to;SWANN BLOOD GROUP ANTIGEN;Renal tubular acidosis, distal, with hemolytic anemia;Spherocytosis type 4;Stomatocytic elliptocytosis, hereditary
SLC4A11	Corneal endothelial dystrophy type 2;Corneal endothelial dystrophy;Corneal dystrophy and perceptive deafness;Corneal dystrophy, Fuchs endothelial, 4
SLC4A4	Renal tubular acidosis, proximal, with ocular abnormalities and mental retardation
SLC52A1	Vitamin B2 deficiency
SLC52A2	Brown-Vialetto-Van Laere syndrome 2
SLC52A3	Progressive bulbar palsy of childhood;Brown-Vialetto-Van Laere syndrome 1;Inborn genetic diseases
SLC5A1	Congenital glucose-galactose malabsorption
SLC5A2	Familial renal glucosuria
SLC5A5	Thyroid dyshormonogenesis 1
SLC5A7	Neuronopathy, distal hereditary motor, type viia;Myasthenic syndrome, congenital, 20, presynaptic
SLC6A1	Rolandic epilepsy;Myoclonic-atonic epilepsy;Inborn genetic diseases;History of neurodevelopmental disorder
SLC6A17	Mental retardation, autosomal recessive 48
SLC6A19	Neutral 1 amino acid transport defect;Hyperglycinuria;Iminoglycinuria, digenic
SLC6A2	Orthostatic intolerance
SLC6A3	Infantile Parkinsonism-dystonia
SLC6A4	Serotonin transporter activity, increased/decreased;Obsessive-compulsive disorder, susceptibility to
SLC6A5	Hyperekplexia 3
SLC6A8	Schizophrenia;Low-set ears;Autistic disorder of childhood onset;Intellectual disability;Seizures;Abnormal facial shape;Creatine deficiency, X-linked;Inborn genetic diseases
SLC6A9	Glycine encephalopathy with normal serum glycine
SLC7A14	Retinitis pigmentosa 68
SLC7A7	Lysinuric protein intolerance
SLC7A8	Short stature
SLC7A9	Cystinuria
SLC9A1	Inborn genetic diseases;Lichtenstein-knorr syndrome
SLC9A3	Diarrhea 8, secretory sodium, congenital
SLC9A6	Schizophrenia;Failure to thrive;Clinodactyly of the 5th finger;Pectus excavatum;Global developmental delay;Generalized hypotonia;Christianson syndrome;Chorea;Focal white matter lesions;Autistic disorder of childhood onset;Postnatal microcephaly;Seizures;Impaired use of nonverbal behaviors;Esotropia;Deeply set eye;Short stature
SLC9A9	Autism 16
SLCO2A1	Primary hypertrophic osteoarthropathy, autosomal recessive 2
SLFN14	Platelet-type bleeding disorder 20
SLITRK1	Tourette Syndrome;Hair-pulling
SLITRK5	Schizophrenia;Abnormality of brain morphology
SLITRK6	Deafness and myopia
SLTM	Jeune thoracic dystrophy
SLURP1	Acroerythrokeratoderma
SLX4	Glioblastoma multiforme;Fanconi anemia;Fanconi anemia, complementation group P
SMAD2	Inborn genetic diseases
SMAD3	Dilatation;Loeys-Dietz syndrome 3;Cardiovascular phenotype;Thoracic aortic aneurysm and aortic dissection;Congenital aneurysm of ascending aorta;Loeys-Dietz syndrome
SMAD4	Colorectal cancer;Lung adenocarcinoma;Uterine cervical neoplasms;Hereditary cancer-predisposing syndrome;JP and JP/HHT;Squamous cell carcinoma of the head and neck;Adenocarcinoma of stomach;Neoplasm of the breast;Carcinoma of pancreas;Pancreatic adenocarcinoma;Heritable Thoracic Aortic Disease;Cardiovascular phenotype;Myhre syndrome;Neoplasm of the large intestine;Carcinoma of esophagus;Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome;Juvenile polyposis syndrome;Adenocarcinoma of prostate
SMAD6	Aortic valve disorder;CRANIOSYNOSTOSIS 7, SUSCEPTIBILITY TO;Aortic valve disease 2
SMAD7	Colorectal cancer 3
SMAD9	Primary pulmonary hypertension 2;Pulmonary arterial hypertension associated with congenital heart disease
SMARCA1	Abnormality of brain morphology
SMARCA2	Inborn genetic diseases;Nicolaides-Baraitser syndrome
SMARCA4	Neuroblastoma;Rhabdoid tumor predisposition syndrome 2;Inborn genetic diseases;Mental retardation, autosomal dominant 16;Hereditary cancer-predisposing syndrome
SMARCA5	Short stature
SMARCAD1	Adermatoglyphia;Keratoderma with scleroatrophy of the extremities;Basan syndrome
SMARCAL1	Focal segmental glomerulosclerosis;Decreased body weight;Small for gestational age;Disproportionate short-trunk short stature;Congenital microcephaly;Schimke immunoosseous dysplasia;Atrioventricular canal defect;Microcephaly;Steroid-resistant nephrotic syndrome;Short stature
SMARCB1	Schwannoma;Rhabdoid tumor predisposition syndrome 1;Neoplasm of the central nervous system;Mental retardation, autosomal dominant 15;Schwannomatosis 1;Peripheral Schwannoma;Schwannomatosis 1, somatic;Hereditary cancer-predisposing syndrome;Malignant rhabdoid tumor, somatic;Schwannomatosis
SMARCC2	COFFIN-SIRIS SYNDROME 8
SMARCD2	Autosomal recessive severe congenital neutropenia;Specific granule deficiency 2;Specific granule deficiency
SMARCE1	Coffin-Siris syndrome 5;Meningioma, familial;Inborn genetic diseases;Hereditary cancer-predisposing syndrome
SMC1A	Hirsutism;Abnormality of the heart valves;Schizophrenia;Autistic disorder of childhood onset;Progressive sensorineural hearing impairment;Global developmental delay;Wiedemann-Steiner syndrome;Congenital muscular hypertrophy-cerebral syndrome;Microcephaly;Hypertonia;Inborn genetic diseases
SMC3	Cornelia de Lange syndrome 3;Wiedemann-Steiner syndrome;Inborn genetic diseases
SMCHD1	Short nose;Arhinia choanal atresia microphthalmia;Anosmia;Facioscapulohumeral muscular dystrophy 2;Microphallus;Cryptorchidism;Scapulohumeral muscular dystrophy
SMG9	Global developmental delay;Heart and brain malformation syndrome;Brainstem dysplasia;Abnormality of cardiovascular system morphology;Abnormal facial shape
SMN1	Kugelberg-Welander disease;Werdnig-Hoffmann disease;Spinal muscular atrophy;Spinal muscular atrophy type 4;Spinal muscular atrophy, type II
SMN2	Spinal muscular atrophy, modifier of;Kugelberg-Welander disease
SMO	Craniofacial malformations, asymmetric, with polysyndactyly and abnormal skin and gut development;Basal cell carcinoma, somatic;Medulloblastoma;Basal cell carcinoma
SMOC1	Anophthalmos with limb anomalies
SMOC2	Dentin dysplasia, type I, with extreme microdontia and misshapen teeth
SMPD1	Niemann-pick disease, intermediate, protracted neurovisceral;Sphingomyelin/cholesterol lipidosis;Niemann-Pick disease, type A;Niemann-Pick disease, type B
SMPX	Deafness, X-linked;Deafness, X-linked 4
SMS	Schizophrenia;Autistic disorder of childhood onset;Smith-Magenis syndrome;Snyder Robinson syndrome
SNAI2	Waardenburg syndrome type 2D;Partial albinism
SNAP25	Myasthenic syndrome, congenital, 18;Inborn genetic diseases
SNAP29	Cerebral dysgenesis, neuropathy, ichthyosis, and palmoplantar keratoderma syndrome
SNAPC5	Cutaneous melanoma
SNAPIN	Abnormality of brain morphology
SNCA	Lewy body dementia;Parkinson disease 1
SNCB	Lewy body dementia
SNIP1	Psychomotor retardation, epilepsy, and craniofacial dysmorphism;Rolandic epilepsy
SNORD118	Leukoencephalopathy, brain calcifications, and cysts
SNRNP200	Retinitis pigmentosa;Retinitis pigmentosa 33
SNRPA	Spliceosomepathy
SNRPB	Cerebro-costo-mandibular syndrome
SNRPE	Hypotrichosis 11
SNX10	Infantile osteopetrosis;Osteopetrosis, autosomal recessive 8
SNX14	Abnormality of brain morphology;Spinocerebellar ataxia, autosomal recessive 20
SNX27	Severe myoclonic epilepsy in infancy
SOBP	Mental retardation, anterior maxillary protrusion, and strabismus
SOD1	Amyotrophic lateral sclerosis 1, autosomal recessive;Amyotrophic lateral sclerosis type 1;Motor neuron disease
SOD3	Superoxide dismutase, elevated extracellular
SOHLH1	SPERMATOGENIC FAILURE 32;OVARIAN DYSGENESIS 5;Nonsyndromic hypergonadotropic hypogonadism
SON	Global developmental delay;ZTTK syndrome;Failure to thrive;Inborn genetic diseases
SOS1	Noonan syndrome;Gingival fibromatosis 1;Pulmonic stenosis;Lung adenocarcinoma;Rasopathy;Malignant neoplasm of body of uterus;Abnormality of the sternum;Inborn genetic diseases;Short stature;Ptosis
SOS2	Noonan syndrome 9
SOST	Craniodiaphyseal dysplasia, autosomal dominant;Sclerosteosis 1
SOX10	Waardenburg syndrome type 4A;Waardenburg syndrome type 2A;Waardenburg syndrome type 2E;Hirschsprung disease 1;Waardenburg syndrome type 2E, without neurologic involvement;Waardenburg syndrome type 4C;Hirschsprung disease;Peripheral demyelinating neuropathy, central dysmyelination, Waardenburg syndrome, and Hirschsprung disease;Waardenburg syndrome type 2E, with neurologic involvement;Waardenburg syndrome
SOX11	Mental retardation, autosomal dominant 27;Inborn genetic diseases
SOX18	Glomerulonephritis with sparse hair and telangiectases;Hypotrichosis-lymphedema-telangiectasia syndrome
SOX2	Microphthalmia syndromic 3;Optic nerve hypoplasia and abnormalities of the central nervous system;Inborn genetic diseases
SOX3	Mental retardation with panhypopituitarism, X-linked;Schizophrenia;Autistic disorder of childhood onset
SOX4	Intellectual disability, mild
SOX5	Cerebral visual impairment and intellectual disability;Lamb-shaffer syndrome;Epileptic encephalopathy;Optic nerve hypoplasia;Strabismus;Thoracolumbar scoliosis;Aplasia/Hypoplasia of the nails;Inborn genetic diseases;Severe global developmental delay;Central hypotonia;Generalized hypotonia
SOX9	Acampomelic campomelic dysplasia with autosomal sex reversal;Acampomelic campomelic dysplasia;Inborn genetic diseases;Campomelic dysplasia with autosomal sex reversal;Camptomelic dysplasia
SP110	Hepatic venoocclusive disease with immunodeficiency
SP140	Hepatic venoocclusive disease with immunodeficiency
SP7	Osteogenesis imperfecta type 12
SPAG1	Epilepsy, nocturnal frontal lobe, 5;Kartagener syndrome;Ciliary dyskinesia, primary, 28
SPAG17	Cranioectodermal dysplasia 2
SPARC	Osteogenesis imperfecta, type xvii
SPART	Failure to thrive;Strabismus;Global developmental delay;Microcephaly;Cerebellar ataxia;Troyer syndrome;Inborn genetic diseases;Dysarthria
SPAST	Spastic paraplegia;Spastic paraplegia 4, autosomal dominant;Seizures;Fatigue;Abnormal myelination;Spastic paraparesis;Hereditary spastic paraplegia;Inborn genetic diseases
SPATA5	Epilepsy, hearing loss, and mental retardation syndrome
SPATA7	SPATA7-Related Disorders;Leber congenital amaurosis 3;Retinitis pigmentosa, juvenile;Leber congenital amaurosis;Retinal dystrophy
SPDL1	Neonatal death;Severe primary microcephaly
SPECC1L	Oculomaxillofacial dysostosis;Opitz G/BBB syndrome;Hypertelorism, Teebi type
SPEG	Myopathy, centronuclear, 5
SPG11	Generalized hyperreflexia;Gait disturbance;Abnormality of brain morphology;Amyotrophic lateral sclerosis type 5;Difficulty walking;Spastic paraplegia 11, autosomal recessive;Spastic paraparesis;Charcot-Marie-Tooth disease, axonal type 2X
SPG21	Mast syndrome
SPG7	Spastic paraplegia 7;Inborn genetic diseases
SPINK1	Tropical calcific pancreatitis;Chronic pancreatitis;Hereditary pancreatitis
SPINK2	Spermatogenic failure 29
SPINK5	Increased IgE level;Erythroderma;Netherton syndrome
SPINT2	Diarrhea 3, secretory sodium, congenital, syndromic
SPNS2	Inborn genetic diseases;DEAFNESS, AUTOSOMAL RECESSIVE 115
SPOP	Malignant neoplasm of body of uterus;Adenocarcinoma of prostate
SPR	Sepiapterin reductase deficiency
SPRED1	Legius syndrome;Inborn genetic diseases
SPRTN	Ruijs-Aalfs syndrome
SPRY2	IgA nephropathy, susceptibility to, 3
SPRY4	Hypogonadotropic hypogonadism 17 with or without anosmia
SPTA1	Spherocytosis type 3;Hereditary pyropoikilocytosis;Congenital hemolytic anemia;Elliptocytosis 2
SPTAN1	Early infantile epileptic encephalopathy 5;Rolandic epilepsy;Early infantile epileptic encephalopathy
SPTB	Hemolytic anemia;Hereditary pyropoikilocytosis;Spherocytosis type 2;ANEMIA, PERINATAL HEMOLYTIC, FATAL OR NEAR-FATAL;Elliptocytosis 3;Hereditary spherocytosis
SPTBN2	Spinocerebellar ataxia 5;Spinocerebellar ataxia, autosomal recessive 14;Inborn genetic diseases
SPTBN4	Myopathy, congenital, with neuropathy and deafness;Inborn genetic diseases
SPTLC1	Neuropathy, hereditary sensory and autonomic, type I, severe;Neuropathy hereditary sensory and autonomic type 1
SPTLC2	Hereditary sensory and autonomic neuropathy type IC;NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC, SEVERE;NEUROPATHY, HEREDITARY SENSORY, TYPE IC
SPTLC3	Peripheral neuropathy;Sensory neuropathy
SQSTM1	Paget disease of bone, familial;Paget disease of bone 2, early-onset;Nonaka myopathy;Neurodegeneration with ataxia, dystonia, and gaze palsy, childhood-onset;Amyotrophic lateral sclerosis and/or frontotemporal dementia 1
SRC	Colon cancer, advanced;Thrombocytopenia 6;Neoplasm
SRCAP	Floating-Harbor syndrome;Inborn genetic diseases
SRD5A2	Micropenis;3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency
SRD5A3	Congenital disorder of glycosylation type 1Q;Kahrizi syndrome
SRGAP1	Follicular thyroid carcinoma
SRI	Inborn genetic diseases
SRP54	Shwachman syndrome
SRP72	Bone marrow failure syndrome 1
SRPX	Short stature
SRPX2	Rolandic epilepsy with mental retardation and speech dyspraxia, X-linked
SRY	Autistic disorder of childhood onset;46,XY true hermaphroditism, SRY-related;46,XX sex reversal, type 1;46,XY sex reversal, type 1
SSR4	Congenital disorder of glycosylation type 1y
ST14	Ichthyosis, congenital, autosomal recessive 11
ST3GAL3	Mental retardation, autosomal recessive 12;Early infantile epileptic encephalopathy 15
ST3GAL5	Salt and pepper developmental regression syndrome
ST7	Global developmental delay;Brain atrophy;Intractable seizure
STAC2	Childhood-Onset Schizophrenia
STAC3	Native American myopathy
STAG1	STAG1-related disorder;MENTAL RETARDATION, AUTOSOMAL DOMINANT 47;Inborn genetic diseases
STAG2	STAG2-related disorder;NEURODEVELOPMENTAL DISORDER, X-LINKED, WITH CRANIOFACIAL ABNORMALITIES
STAG3	Premature ovarian failure 8;Abnormality of the ovary;Premature ovarian insufficiency;Female infertility
STAMBP	Microcephaly-capillary malformation syndrome
STAP1	Familial hypercholesterolemia
STAR	Cholesterol monooxygenase (side-chain cleaving) deficiency
